municipio,regiao,ano,tipo_crime,quantidade,fonte
Abatiá,RGI de Santo Antônio da Platina,2020,Crimes de Furto,68.0,Crimes gerais
Abatiá,RGI de Santo Antônio da Platina,2021,Crimes de Furto,66.0,Crimes gerais
Abatiá,RGI de Santo Antônio da Platina,2022,Crimes de Furto,47.0,Crimes gerais
Abatiá,RGI de Santo Antônio da Platina,2023,Crimes de Furto,45.0,Crimes gerais
Abatiá,RGI de Santo Antônio da Platina,2024,Crimes de Furto,58.0,Crimes gerais
Abatiá,RGI de Santo Antônio da Platina,2018,Crimes de Lesão Corporal,58.0,Crimes gerais
Abatiá,RGI de Santo Antônio da Platina,2019,Crimes de Lesão Corporal,54.0,Crimes gerais
Abatiá,RGI de Santo Antônio da Platina,2020,Crimes de Lesão Corporal,40.0,Crimes gerais
Abatiá,RGI de Santo Antônio da Platina,2021,Crimes de Lesão Corporal,47.0,Crimes gerais
Abatiá,RGI de Santo Antônio da Platina,2022,Crimes de Lesão Corporal,48.0,Crimes gerais
Abatiá,RGI de Santo Antônio da Platina,2023,Crimes de Lesão Corporal,43.0,Crimes gerais
Abatiá,RGI de Santo Antônio da Platina,2024,Crimes de Lesão Corporal,37.0,Crimes gerais
Abatiá,RGI de Santo Antônio da Platina,2018,Crimes de Roubo,20.0,Crimes gerais
Abatiá,RGI de Santo Antônio da Platina,2019,Crimes de Roubo,11.0,Crimes gerais
Abatiá,RGI de Santo Antônio da Platina,2020,Crimes de Roubo,9.0,Crimes gerais
Abatiá,RGI de Santo Antônio da Platina,2021,Crimes de Roubo,6.0,Crimes gerais
Abatiá,RGI de Santo Antônio da Platina,2022,Crimes de Roubo,2.0,Crimes gerais
Abatiá,RGI de Santo Antônio da Platina,2023,Crimes de Roubo,9.0,Crimes gerais
Abatiá,RGI de Santo Antônio da Platina,2024,Crimes de Roubo,2.0,Crimes gerais
Abatiá,RGI de Santo Antônio da Platina,2018,Furtos de Veículos,4.0,Crimes gerais
Abatiá,RGI de Santo Antônio da Platina,2019,Furtos de Veículos,10.0,Crimes gerais
Abatiá,RGI de Santo Antônio da Platina,2020,Furtos de Veículos,4.0,Crimes gerais
Abatiá,RGI de Santo Antônio da Platina,2021,Furtos de Veículos,8.0,Crimes gerais
Abatiá,RGI de Santo Antônio da Platina,2022,Furtos de Veículos,5.0,Crimes gerais
Abatiá,RGI de Santo Antônio da Platina,2023,Furtos de Veículos,5.0,Crimes gerais
Abatiá,RGI de Santo Antônio da Platina,2024,Furtos de Veículos,4.0,Crimes gerais
Abatiá,RGI de Santo Antônio da Platina,2018,Ocorrências Envolvendo Tráfico de Drogas,5.0,Crimes gerais
Abatiá,RGI de Santo Antônio da Platina,2019,Ocorrências Envolvendo Tráfico de Drogas,3.0,Crimes gerais
Abatiá,RGI de Santo Antônio da Platina,2020,Ocorrências Envolvendo Tráfico de Drogas,4.0,Crimes gerais
Abatiá,RGI de Santo Antônio da Platina,2021,Ocorrências Envolvendo Tráfico de Drogas,6.0,Crimes gerais
Abatiá,RGI de Santo Antônio da Platina,2022,Ocorrências Envolvendo Tráfico de Drogas,2.0,Crimes gerais
Abatiá,RGI de Santo Antônio da Platina,2023,Ocorrências Envolvendo Tráfico de Drogas,6.0,Crimes gerais
Abatiá,RGI de Santo Antônio da Platina,2024,Ocorrências Envolvendo Tráfico de Drogas,3.0,Crimes gerais
Abatiá,RGI de Santo Antônio da Platina,2018,Ocorrências Envolvendo Uso/Consumo de Drogas,11.0,Crimes gerais
Abatiá,RGI de Santo Antônio da Platina,2019,Ocorrências Envolvendo Uso/Consumo de Drogas,3.0,Crimes gerais
Abatiá,RGI de Santo Antônio da Platina,2020,Ocorrências Envolvendo Uso/Consumo de Drogas,2.0,Crimes gerais
Abatiá,RGI de Santo Antônio da Platina,2021,Ocorrências Envolvendo Uso/Consumo de Drogas,3.0,Crimes gerais
Abatiá,RGI de Santo Antônio da Platina,2023,Ocorrências Envolvendo Uso/Consumo de Drogas,8.0,Crimes gerais
Abatiá,RGI de Santo Antônio da Platina,2024,Ocorrências Envolvendo Uso/Consumo de Drogas,4.0,Crimes gerais
Abatiá,RGI de Santo Antônio da Platina,2018,Perturbação do Sossego/Tranquilidade,28.0,Crimes gerais
Abatiá,RGI de Santo Antônio da Platina,2019,Perturbação do Sossego/Tranquilidade,16.0,Crimes gerais
Abatiá,RGI de Santo Antônio da Platina,2020,Perturbação do Sossego/Tranquilidade,10.0,Crimes gerais
Abatiá,RGI de Santo Antônio da Platina,2021,Perturbação do Sossego/Tranquilidade,17.0,Crimes gerais
Abatiá,RGI de Santo Antônio da Platina,2022,Perturbação do Sossego/Tranquilidade,13.0,Crimes gerais
Abatiá,RGI de Santo Antônio da Platina,2023,Perturbação do Sossego/Tranquilidade,17.0,Crimes gerais
Abatiá,RGI de Santo Antônio da Platina,2024,Perturbação do Sossego/Tranquilidade,11.0,Crimes gerais
Abatiá,RGI de Santo Antônio da Platina,2018,Roubos de Veículos,4.0,Crimes gerais
Abatiá,RGI de Santo Antônio da Platina,2019,Roubos de Veículos,3.0,Crimes gerais
Abatiá,RGI de Santo Antônio da Platina,2020,Roubos de Veículos,2.0,Crimes gerais
Abatiá,RGI de Santo Antônio da Platina,2021,Roubos de Veículos,1.0,Crimes gerais
Abatiá,RGI de Santo Antônio da Platina,2022,Roubos de Veículos,1.0,Crimes gerais
Adrianópolis,RGI de Curitiba,2018,Armas de Fogo Apreendidas,2.0,Crimes gerais
Adrianópolis,RGI de Curitiba,2019,Armas de Fogo Apreendidas,10.0,Crimes gerais
Adrianópolis,RGI de Curitiba,2020,Armas de Fogo Apreendidas,5.0,Crimes gerais
Adrianópolis,RGI de Curitiba,2021,Armas de Fogo Apreendidas,3.0,Crimes gerais
Adrianópolis,RGI de Curitiba,2023,Armas de Fogo Apreendidas,5.0,Crimes gerais
Adrianópolis,RGI de Curitiba,2024,Armas de Fogo Apreendidas,1.0,Crimes gerais
Adrianópolis,RGI de Curitiba,2018,Crimes de Ameaça,43.0,Crimes gerais
Adrianópolis,RGI de Curitiba,2019,Crimes de Ameaça,46.0,Crimes gerais
Adrianópolis,RGI de Curitiba,2020,Crimes de Ameaça,56.0,Crimes gerais
Adrianópolis,RGI de Curitiba,2021,Crimes de Ameaça,60.0,Crimes gerais
Adrianópolis,RGI de Curitiba,2022,Crimes de Ameaça,46.0,Crimes gerais
Adrianópolis,RGI de Curitiba,2023,Crimes de Ameaça,41.0,Crimes gerais
Adrianópolis,RGI de Curitiba,2024,Crimes de Ameaça,62.0,Crimes gerais
Adrianópolis,RGI de Curitiba,2018,Crimes de Estelionato,13.0,Crimes gerais
Adrianópolis,RGI de Curitiba,2019,Crimes de Estelionato,7.0,Crimes gerais
Adrianópolis,RGI de Curitiba,2020,Crimes de Estelionato,24.0,Crimes gerais
Adrianópolis,RGI de Curitiba,2021,Crimes de Estelionato,53.0,Crimes gerais
Adrianópolis,RGI de Curitiba,2022,Crimes de Estelionato,32.0,Crimes gerais
Adrianópolis,RGI de Curitiba,2023,Crimes de Estelionato,34.0,Crimes gerais
Adrianópolis,RGI de Curitiba,2024,Crimes de Estelionato,26.0,Crimes gerais
Adrianópolis,RGI de Curitiba,2018,Crimes de Estupro,9.0,Crimes gerais
Adrianópolis,RGI de Curitiba,2019,Crimes de Estupro,6.0,Crimes gerais
